,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
current_language,English,Русский,Português (Brasil),Español,Deutsch,Francais,Italiano,Polski,简体中文,日本語,한국어,,,
arena_skins_skin_editor,Skin Editor,Редактор облика,,,,,,Edytor skórek,,,,,,
arena_skins_color_picker,Color Picker,Пипетка,,,,,,Wybierz kolor,,,,,,
arena_skins_storage,Storage,Хранилище,,,,,,Garderoba,,,,,,
arena_skins_tools_pencil,Pencil,Карандаш,,,,,,Ołówek,,,,,,
arena_skins_tools_pencil_description,"Left click to draw, right click to erase","ЛКМ чтобы рисовать, ПКМ чтобы стереть",,,,,,"Lewy przycisk myszy aby rysować, prawy aby wymazać.",,,,,,
arena_skins_tools_eraser,Eraser,Ластик,,,,,,Gumka,,,,,,
arena_skins_tools_eraser_description,Left click to erase.,ЛКМ чтобы стереть,,,,,,Lewy przycisk myszy aby wymazać.,,,,,,
arena_skins_tools_picker,Color Picker,Пипетка,,,,,,Wybierz kolor,,,,,,
arena_skins_tools_picker_description,Left click on the image to pick color.,ЛКМ на изображении чтобы выбрать цвет,,,,,,Lewy przycisk myszy aby wybrać kolor.,,,,,,
arena_skins_tools_fill,Fill,Заливка,,,,,,Wypełnianie,,,,,,
arena_skins_tools_fill_description,"Left click to fill attached pixels, right click to erase attached pixels.","ЛКМ чтобы залить пиксели, ПКМ чтобы удалить пиксели",,,,,,"Lewy przycisk myszy aby wypełnić sąsiadujące piksele, prawy aby je wymazać.",,,,,,
arena_skins_tools_replace,Replace Color,Заменить цвет,,,,,,Zamiana kolorów,,,,,,
arena_skins_tools_replace_description,"Left click to replace color everywhere, right click to erase color everywhere.","ЛКМ чтобы заменить цвет везде, ПКМ чтобы стереть цвет везде",,,,,,"Lewy przycisk myszy aby wszędzie zamienić kolor, prawy aby wszędzie wymazać.",,,,,,
arena_skins_skin_name,Skin Name: ,Название: ,,,,,,Nazwa skórki,,,,,,
arena_skins_save_skin,Save Skin,Сохранить облик,,,,,,Zapisz skórkę,,,,,,
arena_skins_open_folder,Open Skins Folder,Открыть папку с обликами,,,,,,Otwórz folder skórek,,,,,,
arena_skins_remove_skin,[Remove],[Удалить],,,,,,[Usuń],,,,,,
arena_skins_overwrite,[Overwrite],[Перезаписать],,,,,,[Nadpisz],,,,,,
arena_skins_apply_skin,Apply Skin,Применить облик,,,,,,Zastosuj skórkę,,,,,,
arena_skins_save_skin_description,Save skin to file (will overwrite if skin with same name already exists.),"Сохранить облик в файл (Это перезапишет облик с таким же именем, если такой существует)",,,,,,"Zapisuje skórkę do pilku (nadpisze, jeżeli skórka z identyczną nazwą już istnieje).",,,,,,
arena_skins_apply_skin_description,Apply skin to your player.,Применить облик,,,,,,Stosuje skórkę do twojego gracza.,,,,,,
arena_skins_open_folder_description,Open the skins folder.,Открывает папку с обликами,,,,,,Otwiera folder ze skórkami.,,,,,,
arena_skins_confirm_delete_name,Delete Skin '%s',Удалить облик '%s',,,,,,Usuń skórkę '%s',,,,,,
arena_skins_confirm_overwrite_name,Overwrite Skin '%s',Перезаписать облик '%s',,,,,,Nadpisz skórkę '%s',,,,,,
arena_skins_confirm_delete_desc,Are you sure you want to delete this skin?,"Вы уверены, что хотите удалить этот облик?",,,,,,Czy jesteś pewien że chcesz usunąć tą skórkę?,,,,,,
arena_skins_confirm_overwrite_desc,Are you sure you want to overwrite this skin?,"Вы уверены, что хотите перезаписать этот облик?",,,,,,Czy jesteś pewien że chcesz nadpisać tą skórkę?,,,,,,
arena_skins_confirm_delete,Delete,Удалить,,,,,,Usuń,,,,,,
arena_skins_confirm_overwrite,Overwrite,Перезаписать,,,,,,Nadpisz,,,,,,
arena_skins_confirm_cancel,Cancel,Отменить,,,,,,Anuluj,,,,,,
arena_skins_confirm_save_name,Save Skin '%s',Сохранить облик '%s',,,,,,Zapisz skórkę '%s',,,,,,
arena_skins_confirm_save_desc,Are you sure you want to save this skin? \nDoing so will replace any skin with the same name.,"Вы уверены, что хотите сохранить этот облик? \nСохранение перезапишет облик с таким же названием.",,,,,,Czy na pewno chcesz zapisać tę skórkę? \nZrobienie tego nadpisze skórkę o tej samej nazwie.,,,,,,
arena_skins_confirm_save,Save,Сохранить,,,,,,Zapisz,,,,,,
